Name,Role,Black,NFL_Player,Network/Team
Adam Amin,Play-by-play,No,No,ESPN
Adam Archuleta,Analyst,No,Yes,CBS
Al Michaels,Play-by-play,No,No,NBC
Amanda Balionis,Sideline,No,No,CBS
Amie Wells,Sideline,No,No,Titans
Andre Ware,Analyst,Yes,Yes,ESPN
Andrew Catalon,Play-by-play,No,No,CBS
Andrew Siciliano,Play-by-play,No,No,NFL Network
Anthony Becht,Analyst,No,Yes,ESPN
Anthony Muñoz,Analyst,No,Yes,CBS
Ashlyn Sullivan,Sideline,No,No,Jaguars
B.J. Kissel,Sideline,No,No,Chiefs
Babe Laufenberg,Analyst,No,Yes,CBS
Ben Leber,Sideline,No,Yes,Fox
Bernie Kosar,Sideline,No,Yes,ABC
Beth Mowins,Play-by-play,No,No,CBS
Bill Hillgrove,Play-by-play,No,No,CBS
Bill Jones,Play-by-play,No,No,CBS
Bob Fitzgerald,Play-by-play,No,No,
Bob Griese,Analyst,No,Yes,CBS
Bob Papa,Play-by-play,No,No,NBC
Bob Pompeani,Play-by-play,No,No,CBS
Bob Socci,Play-by-play,No,No,CBS
Bob Wischusen,Play-by-play,No,No,ESPN
Booger McFarland,Analyst,Yes,Yes,ESPN
Brad Sham,Play-by-play,No,No,
Brady Quinn,Analyst,No,Yes,Fox
Brent Martineau,Sideline,No,No,CBS
Brent Musburger,Play-by-play,No,No,
Brian Billick,Analyst,No,Yes,NBC
Brian Custer,Play-by-play,Yes,No,Fox
Brian Griese,Analyst,No,Yes,ESPN
Brian Sexton,Play-by-play,No,No,Jaguars
Brock Huard,Analyst,No,Yes,ESPN
Bruce Arians,Analyst,No,No,CBS
Bruce Beck,Sideline,No,No,NBC
Bruce Feldman,Sideline,No,No,Fox
Bryan Broaddus,Analyst,No,No,Cowboys
Carl Banks,Analyst,Yes,Yes,NBC
Caroline Cann,Sideline,No,No,Colts
Carter Blackburn,Play-by-play,No,No,CBS
Charles Davis,Analyst,Yes,Yes,Fox
Charlie Batch,Analyst,Yes,Yes,CBS
Chris Cooley,Analyst,No,Yes,Franchise from Washington
Chris Myers,Play-by-play,No,No,Fox
Chris Spielman,Analyst,No,Yes,Fox
Chris Townsend,Sideline,No,No,Raiders
Clinton Portis,Sideline,Yes,Yes,Franchise from Washington
Cory Curtis,Sideline,No,No,ABC
Coy Wire,Analyst,No,Yes,CNN/CW
Craig Wolfley,Sideline,No,Yes,
Cris Carter,Analyst,Yes,Yes,Fox
Cris Collinsworth,Analyst,No,Yes,NBC
Curt Menefee,Play-by-play,Yes,No,Fox
D'Marco Farr,Sideline,Yes,Yes,ESPN
Dan Fouts,Analyst,No,Yes,CBS
Dan Hellie,Play-by-play,No,No,Fox
Dan Hoard,Play-by-play,No,No,
Dan Lucas,Sideline,No,No,NBC
Dan Miller,Play-by-play,No,No,Fox
Dan Roche,Play-by-play,No,No,CBS
Dani Welniak,Sideline,No,No,
Daniel Jeremiah,Analyst,No,No,
Daryl Johnston,Analyst,No,Yes,Fox
Dave Lapham,Analyst,No,Yes,
Dave Logan,Play-by-play,No,Yes,
Dave McGinnis,Analyst,No,No,
Dave Moore,Analyst,No,Yes,
Dave Pasch,Play-by-play,No,No,
Dave Spadaro,Sideline,No,No,
Dave Wyman,Analyst,No,Yes,
David Archer,Analyst,No,Yes,
Dennis O'Donnell,Sideline,No,No,
Dennis Pitta,Analyst,No,Yes,
Deuce McAllister,Analyst,Yes,Yes,
Dick Stockton,Play-by-play,No,No,Fox
DJ Shockley,Sideline,Yes,Yes,
Doug Dieken,Analyst,No,Yes,
Doug Gottlieb,Sideline,No,No,Fox
Drew Doughtery,Sideline,No,No,
Dustin Fox,Sideline,No,Yes,
Erin Andrews,Sideline,No,No,Fox
Eugene Robinson,Analyst,Yes,Yes,
Evan Washburn,Sideline,No,No,CBS
Frank Frangie,Play-by-play,No,No,
Fred Taylor,Analyst,Yes,Yes,
Gene Deckerhoff,Play-by-play,No,No,
Gerry Sandusky,Play-by-play,No,No,
Greg Coleman,Sideline,Yes,Yes,
Greg Gumbel,Play-by-play,Yes,No,CBS
Greg Jennings,Analyst,Yes,Yes,Fox
Greg Rakestraw,Play-by-play,No,No,
Hayley Elwood,Sideline,No,No,
Howard Cross,Sideline,Yes,Yes,
Howard Eskin,Sideline,No,No,
Ian Eagle,Play-by-play,No,No,CBS
J.B. Long,Play-by-play,No,No,
Jaime Maggio,Sideline,No,No,
James Lofton,Analyst,Yes,Yes,CBS
Jane Slater,Sideline,No,No,CBS
Jarret Johnson,Analyst,No,Yes,
Jason Witten,Analyst,No,Yes,ESPN
Jay Crawford,Play-by-play,No,No,
Jay Feely,Sideline,No,Yes,CBS
Jeff Fisher,Analyst,No,Yes,Fox
Jeff Joniak,Play-by-play,No,No,
Jeff Lageman,Analyst,No,Yes,
Jen Mueller,Sideline,No,No,
Jennifer Hale,Sideline,No,No,Fox
Jill Arringtonor,Sideline,No,No,
Jim Donovan,Play-by-play,No,No,
Jim Miller,Analyst,No,Yes,
Jim Nantz,Play-by-play,No,No,CBS
Jim Sorgi,Analyst,No,Yes,
Jim Szoke,Play-by-play,No,No,
Jimmy Cefalo,Play-by-play,No,Yes,
Joe Buck,Play-by-play,No,No,Fox
Joe Davis,Play-by-play,No,No,Fox
Joe Rose,Analyst,No,Yes,
Joe Tessitore,Play-by-play,No,No,ESPN
Joe Theismann,Analyst,No,Yes,
Joel Meyers,Play-by-play,No,No,
John Clayton,Sideline,No,No,
John DeShazier,Sideline,Yes,No,
John Harris,Sideline,No,No,
John Michaels,Sideline,No,No,
John Murphy,Play-by-play,No,No,
John Schriffen,Sideline,Yes,No,CBS
Jon Stinchcomb,Analyst,No,Yes,
Joy Taylor,Sideline,Yes,No,Fox
JT The Brick,Sideline,No,No,
Justin Forsett,Sideline,Yes,Yes,
Justin Kutcher,Play-by-play,No,No,Fox
Karyn Bryant,Sideline,Yes,No,Fox
Keena Turner,Analyst,Yes,Yes,
Kendall Gammon,Analyst,No,Yes,
Kenny Albert,Play-by-play,No,No,Fox
Kevin Burkhardt,Play-by-play,No,No,Fox
Kevin Donnalley,Sideline,No,Yes,
Kevin Harlan,Play-by-play,No,No,CBS
Kevin Kugler,Play-by-play,No,No,Fox
Kim Bokamper,Sideline,No,Yes,
Kirk McEwen ,Sideline,Yes,No,
Kristi Scales,Sideline,No,No,
Kristian Garic,Sideline,No,No,
Kristina Pink,Sideline,Yes,No,Fox
Kyle Brandt,Play-by-play,No,No,
LaDanian Tomlinson,Analyst,Yes,Yes,
Lance Allen,Sideline,No,No,
Larry Hardesty,Sideline,Yes,No,
Larry McCarren,Analyst,No,Yes,
Larry Michael,Play-by-play,No,No,
Laura Okmin,Sideline,No,No,Fox
Lincoln Kennedy,Analyst,Yes,Yes,
Lindsay Cash Draper,Sideline,No,No,
Lisa Byington,Play-by-play/Sideline,No,No,Fox
Lisa Matthews,Sideline,No,No,
Lisa Salters,Sideline,Yes,No,ESPN
Lomas Brown,Analyst,Yes,Yes,
Lou Canellis,Sideline,No,No,
Marc Vandermeer,Play-by-play,No,No,
Mark Grote,Sideline,No,No,
Mark Kelso,Analyst,No,Yes,
Mark Schlereth,Analyst,No,Yes,Fox
Marty Lyons,Analyst,No,Yes,
"Matt ""Money"" Smith",Play-by-play,No,No,
Matt Chatham,Analyst,No,Yes,
Matt Millen,Analyst,No,Yes,
Matt Shepard,Play-by-play,No,No,
Matt Taylor,Play-by-play,No,No,
Maurice Jones-Drew,Analyst,Yes,Yes,
Megan Olivi,Sideline,No,No,Fox
Melanie Collins,Sideline,No,No,CBS
Merrill Reese,Play-by-play,No,No,
Michele Tafoya,Sideline,No,No,NBC
Mick Mixon,Play-by-play,No,No,
Mike Keith,Play-by-play,No,No,
Mike Mayock,Analyst,No,Yes,
Mike Quick,Analyst,Yes,Yes,
Mike Rucker,Analyst,Yes,Yes,
Mike Valpredo,Sideline,No,No,
Mike Watts,Play-by-play,No,No,
Missi Matthews,Sideline,No,No,
Mitch Holthus,Play-by-play,No,No,
Nat Moore,Analyst,Yes,Yes,
Nate Burleson,Analyst,Yes,Yes,
Nathan Zegura,Sideline,No,No,
Otis Livingston,Sideline,Yes,No,CBS
Pam Oliver,Sideline,Yes,No,Fox
Pat McAfee,Analyst,No,Yes,Fox
Paul Allen,Play-by-play,No,No,
Paul Calvisi,Sideline,No,No,
Paul Gerke,Sideline,No,No,
Pete Bercich,Analyst,No,Yes,
Peter Schrager,Analyst/Sideline,No,No,Fox
Rich Gannon,Analyst,No,Yes,CBS
Rich Walsh,Sideline,No,No,
"Rick ""Doc"" Walker",Sideline,Yes,Yes,
Rick Ballou,Sideline,No,No,
Rick Lewis,Analyst,No,No,
Rick Venturi,Analyst,No,Yes,
Rob Ninkovich,Sideline,No,Yes,
Rob Stone,Play-by-play,No,No,
Robert Smith,Analyst,Yes,Yes,Fox
Rod Brooks,Sideline,Yes,No,
Rod Mackey,Sideline,No,No,
Ron Wolfley,Analyst,No,Yes,
Ronde Barber,Analyst,Yes,Yes,Fox
Sal Capaccio,Sideline,No,No,
Sam Rosen,Play-by-play,No,No,Fox
Sara Walsh,Sideline,No,No,Fox
Sarah Kustok,Sideline,No,No,Fox
Scott Graham,Play-by-play,No,No,
Scott Zolak,Analyst,No,Yes,
Sean Kelley,Analyst,No,No,
Shane Bacon,Play-by-play,No,No,Fox
Shannon Farren,Sideline,No,No,
Shannon Spake,Sideline,No,No,Fox
Sharon Thorsland,Sideline,No,No,
Sonny Jurgensen,Analyst,No,Yes,
Spencer Tillman,Analyst,Yes,Yes,
Spero Dedes,Play-by-play,No,No,CBS
Steve Beuerlein,Analyst,No,Yes,CBS
Steve Burton,Sideline,Yes,No,
Steve Levy,Play-by-play,No,No,
Steve Raible,Play-by-play,No,Yes,
Steve Tasker,Analyst,No,Yes,CBS
T.J. Rives,Sideline,No,No,
Ted Robinson,Play-by-play,No,No,
Thad Brown,Sideline,No,No,
Thom Brennaman,Play-by-play,No,No,Fox
Tiki Barber,Analyst,Yes,Yes,Fox
Tim Brando,Play-by-play,No,No,Fox
Tim Couch,Analyst,No,Yes,
Tim Ryan,Analyst,No,Yes,
Todd McShay,Sideline,No,No,
Tom McCarthy,Play-by-play,No,No,CBS
Tom Thayer,Analyst,No,Yes,
Tony Boselli,Analyst,No,Yes,
Tony Ortiz,Sideline,Yes,No,
Tony Romo,Analyst,No,Yes,CBS
Tori Petry,Sideline,No,No,
Tracy Wolfson,Sideline,No,No,CBS
Trent Green,Analyst,No,Yes,CBS
Troy Aikman,Analyst,No,Yes,Fox
Tunch Ilkin,Analyst,No,Yes,
Tyler Polumbus,Sideline,No,Yes,
Warren Moon,Analyst,Yes,Yes,
Wayne Larrivee,Play-by-play,No,No,
Wes Durham,Play-by-play,No,No,
Zach Strief,Play-by-play,No,Yes,